id,Кличка,Ссылка на профиль,Приют,Город,Порода,Вид,Дата рождения,Пол,В избранном,Уже дома,Забрать домой,Погулять
274,Чакки,https://teddyfood.com/ru/animals/Chakki/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-05-20,мальчик,2,0,0,0
275,Нюша,https://teddyfood.com/ru/animals/Nyusha/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2013-05-20,девочка,19,0,0,0
276,Харрисон,https://teddyfood.com/ru/animals/Harrison/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-12-02,мальчик,11,1,0,1
277,Леннон,https://teddyfood.com/ru/animals/Lennon_mur/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-12-01,мальчик,5,1,0,0
278,Маккартни,https://teddyfood.com/ru/animals/Mcсartney_mur/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-12-12,мальчик,5,1,0,0
279,Камешка,https://teddyfood.com/ru/animals/Kameshka/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2011-01-20,девочка,32,1,1,1
280,Дымка,https://teddyfood.com/ru/animals/Haze/,Матроскин,Пермь,Без породы,Кошки,2016-07-27,девочка,6,0,0,0
281,Мира,https://teddyfood.com/ru/animals/Mira/,Матроскин,Пермь,Без породы,Кошки,2015-03-20,девочка,0,1,0,0
282,Клубничка,https://teddyfood.com/ru/animals/Strawberry/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-05-20,девочка,12,1,0,0
283,Тоша,https://teddyfood.com/ru/animals/Tosha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2012-03-20,девочка,10,1,0,1
284,Альфина,https://teddyfood.com/ru/animals/Alfina/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-06-20,девочка,4,1,0,0
285,Олежка,https://teddyfood.com/ru/animals/Olezhka/,Матроскин,Пермь,Без породы,Кошки,2016-02-02,мальчик,1,1,0,0
286,Фея,https://teddyfood.com/ru/animals/Kisa/,ФлагманВет,Самара,Без породы,Кошки,2014-08-20,девочка,1,1,0,0
287,Лаветта,https://teddyfood.com/ru/animals/Laveta/,ФлагманВет,Самара,Без породы,Кошки,2014-09-20,девочка,0,1,0,0
288,Корасон,https://teddyfood.com/ru/animals/Corazon/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-06-20,девочка,6,1,0,0
289,Вафлик,https://teddyfood.com/ru/animals/Waffle/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-04-20,мальчик,0,1,0,0
290,Дон Мяукис,https://teddyfood.com/ru/animals/Don/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2009-07-20,мальчик,0,1,0,0
291,Флора,https://teddyfood.com/ru/animals/Flora/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-06-20,девочка,50,0,0,0
292,Адам,https://teddyfood.com/ru/animals/Adam/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-03-20,мальчик,1,1,0,0
293,Клайд,https://teddyfood.com/ru/animals/Clyde/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-06-20,мальчик,10,1,1,1
294,Эля,https://teddyfood.com/ru/animals/Alya/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-02-20,девочка,2,1,0,0
295,Поляша,https://teddyfood.com/ru/animals/Polyasha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-02-20,девочка,0,1,0,0
296,Маркус,https://teddyfood.com/ru/animals/Marcus_smr/,ФлагманВет,Самара,Без породы,Кошки,2016-05-20,мальчик,2,1,0,0
297,Фиксик ,https://teddyfood.com/ru/animals/Fixic/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2017-02-10,мальчик,2,1,0,0
298,Атика,https://teddyfood.com/ru/animals/Attica/,Матроскин,Пермь,Без породы,Кошки,2005-03-20,девочка,3,1,0,0
299,Алекс,https://teddyfood.com/ru/animals/Alex_perm/,Матроскин,Пермь,Без породы,Кошки,2016-05-10,мальчик,1,1,0,0
300,Бегемот,https://teddyfood.com/ru/animals/hippo/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-07-10,мальчик,2,1,0,0
301,Пуга,https://teddyfood.com/ru/animals/Puga/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-04-20,девочка,3,1,0,0
302,Облачко,https://teddyfood.com/ru/animals/Cloud/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-04-20,девочка,1,1,0,0
303,Иринка,https://teddyfood.com/ru/animals/Irinka_mur/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-04-20,девочка,4,1,0,1
304,Василина,https://teddyfood.com/ru/animals/Vasilina/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2012-10-05,девочка,9,1,0,0
305,Старр,https://teddyfood.com/ru/animals/Star/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-01-20,мальчик,1,1,0,0
306,Пуня,https://teddyfood.com/ru/animals/Punya/,"Кошачий приют ""ДОМИК""",Волгоград,Без породы,Кошки,2016-08-10,девочка,1,1,0,0
307,Леон,https://teddyfood.com/ru/animals/Leon/,Матроскин,Пермь,Без породы,Кошки,2015-05-20,мальчик,3,1,0,0
308,Луиса,https://teddyfood.com/ru/animals/Luisa/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-07-20,девочка,6,1,0,1
309,Чипс,https://teddyfood.com/ru/animals/Chips/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-07-20,мальчик,1,1,0,0
310,Маша,https://teddyfood.com/ru/animals/Masha_p/,Матроскин,Пермь,Без породы,Кошки,2013-07-20,девочка,2,1,0,0
311,Бася,https://teddyfood.com/ru/animals/Basia/,Мокрый нос,Киров,Без породы,Собаки,2016-10-10,девочка,37,0,0,2
312,Фиби,https://teddyfood.com/ru/animals/Fibi/,Матроскин,Пермь,Без породы,Кошки,2016-05-01,девочка,4,1,0,0
313,Пикассо,https://teddyfood.com/ru/animals/Picasso/,Матроскин,Пермь,Без породы,Кошки,2011-06-20,мальчик,6,1,0,0
314,Рейчел,https://teddyfood.com/ru/animals/Rachel/,Матроскин,Пермь,Без породы,Кошки,2016-07-20,девочка,1,1,0,0
315,Мальва,https://teddyfood.com/ru/animals/malva/,Матроскин,Пермь,Без породы,Кошки,2013-06-20,девочка,12,1,0,0
316,Пряник,https://teddyfood.com/ru/animals/cake/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-11-10,мальчик,0,0,0,0
317,Канзас,https://teddyfood.com/ru/animals/Kansas/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-03-20,мальчик,0,1,0,0
318,Дэлавер,https://teddyfood.com/ru/animals/Delaware/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-03-20,мальчик,10,1,0,0
319,Миссисипи,https://teddyfood.com/ru/animals/Mississippi/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-03-20,девочка,1,1,0,0
320,Мичиган,https://teddyfood.com/ru/animals/Michigan/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-03-20,мальчик,4,1,0,0
321,Миннесота ,https://teddyfood.com/ru/animals/Minnesota/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-03-20,девочка,7,1,0,0
322,Том,https://teddyfood.com/ru/animals/Tom_vol/,"Кошачий приют ""ДОМИК""",Волгоград,Без породы,Кошки,2017-10-10,мальчик,11,1,1,0
323,Манеко Неко,https://teddyfood.com/ru/animals/Maneko_Neko_volgograd/,"Кошачий приют ""ДОМИК""",Волгоград,Без породы,Кошки,2015-04-20,девочка,1,1,0,0
324,Дарли,https://teddyfood.com/ru/animals/Darley/,"Кошачий приют ""ДОМИК""",Волгоград,Британец,Кошки,2014-05-20,девочка,15,1,1,0
325,Лева,https://teddyfood.com/ru/animals/Lyova/,"Кошачий приют ""ДОМИК""",Волгоград,Без породы,Кошки,2012-07-20,мальчик,27,0,0,0
326,Ежик,https://teddyfood.com/ru/animals/Hedgehog/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-08-20,мальчик,0,1,0,0
327,Фунтик,https://teddyfood.com/ru/animals/Funtik/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-12-20,мальчик,0,1,0,0
328,Соня,https://teddyfood.com/ru/animals/Sonia_p/,Котофей,Пермь,Без породы,Кошки,2015-06-20,девочка,6,1,0,0
329,Амур,https://teddyfood.com/ru/animals/Amur/,Котофей,Пермь,Без породы,Кошки,2016-02-20,мальчик,2,1,0,0
330,Афина,https://teddyfood.com/ru/animals/Athena/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-07-20,девочка,7,1,0,1
331,Бренда,https://teddyfood.com/ru/animals/Brenda/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-03-10,девочка,0,1,0,0
332,Арья,https://teddyfood.com/ru/animals/Cat_samara/,ФлагманВет,Самара,Без породы,Кошки,2015-05-20,девочка,2,0,0,0
333,Андромеда,https://teddyfood.com/ru/animals/Andromeda/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-08-02,девочка,4,1,0,0
334,Алмазинка,https://teddyfood.com/ru/animals/Almazinka/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-02-08,девочка,5,1,0,0
335,Дакота и котята,https://teddyfood.com/ru/animals/Dakota/,ФлагманВет,Самара,Без породы,Кошки,2017-08-01,девочка,8,1,0,0
337,Бьянка,https://teddyfood.com/ru/animals/Bianca_perm/,Матроскин,Пермь,Без породы,Кошки,2015-09-20,девочка,5,1,0,0
338,Оскар,https://teddyfood.com/ru/animals/Oscar_perm/,Матроскин,Пермь,Без породы,Кошки,2016-07-20,мальчик,1,1,0,0
339,Прокофий,https://teddyfood.com/ru/animals/Prokofy/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-03-10,мальчик,3,1,0,0
340,Мирон,https://teddyfood.com/ru/animals/Myron_mur/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-03-10,мальчик,1,1,0,0
341,Матвей,https://teddyfood.com/ru/animals/Matvey_mur/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-03-10,мальчик,3,1,1,0
342,Брайан,https://teddyfood.com/ru/animals/Brian_perm/,Матроскин,Пермь,Без породы,Кошки,2012-07-02,мальчик,3,1,0,1
343,Афродита,https://teddyfood.com/ru/animals/Aphrodite_mur/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-07-20,девочка,11,1,0,0
344,Торри,https://teddyfood.com/ru/animals/Torri/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-09-10,девочка,8,1,0,0
345,Аватар,https://teddyfood.com/ru/animals/Avatar/,Котофей,Пермь,Без породы,Кошки,2015-07-20,мальчик,0,1,0,0
346,Серафима ,https://teddyfood.com/ru/animals/Seraphima/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2017-03-10,девочка,8,1,0,0
347,Кузина,https://teddyfood.com/ru/animals/Cousina/,Котофей,Пермь,Без породы,Кошки,2011-04-20,девочка,3,1,0,0
348,Ониксия,https://teddyfood.com/ru/animals/Onyxia/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-08-20,девочка,9,1,0,0
349,Кенариус,https://teddyfood.com/ru/animals/Cenarius/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-08-20,мальчик,6,1,0,0
350,Каролина,https://teddyfood.com/ru/animals/Caroline_smr/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-08-20,девочка,6,0,0,1
351,Хлоя,https://teddyfood.com/ru/animals/Chloe/,Матроскин,Пермь,Без породы,Кошки,2016-08-20,девочка,2,1,0,0
352,Сюзанна,https://teddyfood.com/ru/animals/Suzanne/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-07-18,девочка,5,1,0,0
353,Пьер,https://teddyfood.com/ru/animals/Pierre/,Котофей,Пермь,Без породы,Кошки,2013-08-20,мальчик,2,1,0,0
354,Изольда,https://teddyfood.com/ru/animals/Isolde/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-09-20,девочка,2,1,0,0
355,Марьям,https://teddyfood.com/ru/animals/Maryam_m/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-06-20,девочка,1,1,0,0
356,Тима,https://teddyfood.com/ru/animals/Tima_p/,Матроскин,Пермь,Без породы,Кошки,2016-11-20,мальчик,6,1,0,0
357,Перчатка,https://teddyfood.com/ru/animals/Glove/,Матроскин,Пермь,Без породы,Кошки,2016-03-20,девочка,2,1,0,0
358,Немо,https://teddyfood.com/ru/animals/Nemo/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-09-20,мальчик,7,1,0,1
359,Киви,https://teddyfood.com/ru/animals/Kivi/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-05-02,мальчик,2,1,0,0
360,Рон,https://teddyfood.com/ru/animals/Ron_perm/,Матроскин,Пермь,Без породы,Кошки,2015-02-20,мальчик,3,1,0,0
361,Яся,https://teddyfood.com/ru/animals/Yasya/,"Кошачий приют ""ДОМИК""",Волгоград,Без породы,Кошки,2016-08-20,девочка,8,1,0,0
362,Ласка,https://teddyfood.com/ru/animals/Lasca/,"Кошачий приют ""ДОМИК""",Волгоград,Без породы,Кошки,2016-09-08,девочка,14,1,1,0
363,Мандаринка,https://teddyfood.com/ru/animals/Mandarinka/,Котофей,Пермь,Без породы,Кошки,2015-10-10,девочка,10,1,0,0
364,Сникерс,https://teddyfood.com/ru/animals/Snickers/,Котофей,Пермь,Без породы,Кошки,2016-08-20,мальчик,6,1,0,1
365,Канапешка,https://teddyfood.com/ru/animals/Kanapeshka/,Котофей,Пермь,Без породы,Кошки,2015-06-20,девочка,3,1,0,0
366,Алиса,https://teddyfood.com/ru/animals/Alice_v/,"Кошачий приют ""ДОМИК""",Волгоград,Без породы,Кошки,2016-09-10,девочка,44,1,0,0
367,Принц Каспиан,https://teddyfood.com/ru/animals/Prince_Caspian/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-09-20,мальчик,2,1,0,0
368,Тристан,https://teddyfood.com/ru/animals/Tristan/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-09-20,мальчик,3,1,0,0
369,Бася,https://teddyfood.com/ru/animals/Basia_m/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-09-20,мальчик,0,1,0,0
370,Кирюха,https://teddyfood.com/ru/animals/Kiryuha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2012-10-12,мальчик,9,1,0,0
371,Герда,https://teddyfood.com/ru/animals/Gerda/,Мокрый нос,Киров,Без породы,Собаки,2016-05-10,мальчик,3,1,0,0
372,Нуга,https://teddyfood.com/ru/animals/Nougat/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-08-10,девочка,4,1,0,0
373,Рысь,https://teddyfood.com/ru/animals/Lynx/,Матроскин,Пермь,Без породы,Кошки,2014-08-20,мальчик,1,1,0,0
374,Орфей,https://teddyfood.com/ru/animals/Orpheus/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-09-09,мальчик,3,1,0,0
375,Коржик,https://teddyfood.com/ru/animals/Korjik/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-08-20,мальчик,1,1,0,0
376,Вася,https://teddyfood.com/ru/animals/Vasya/,Матроскин,Пермь,Без породы,Кошки,2013-09-10,мальчик,3,1,0,0
377,Боня,https://teddyfood.com/ru/animals/Bonya_s/,Мокрый нос,Киров,Без породы,Собаки,2015-07-10,девочка,30,0,0,2
378,Милагрос,https://teddyfood.com/ru/animals/Milagros/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-10-10,мальчик,14,1,0,0
379,Маша,https://teddyfood.com/ru/animals/Masha_matroskin/,Матроскин,Пермь,Без породы,Кошки,2014-10-10,девочка,2,1,0,0
380,Колбаска,https://teddyfood.com/ru/animals/Colbaska/,Матроскин,Пермь,Без породы,Кошки,2013-10-20,мальчик,0,1,0,0
381,Беляш,https://teddyfood.com/ru/animals/Belyash/,Матроскин,Пермь,Без породы,Кошки,2013-08-20,мальчик,5,1,0,0
382,Пончик,https://teddyfood.com/ru/animals/Donut/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-10-02,мальчик,1,1,0,0
383,Дори,https://teddyfood.com/ru/animals/Dori/,Матроскин,Пермь,Без породы,Кошки,2014-07-20,девочка,0,1,0,0
384,Лаки,https://teddyfood.com/ru/animals/Laki_p/,Матроскин,Пермь,Без породы,Кошки,2014-09-20,мальчик,3,1,0,0
385,Джек,https://teddyfood.com/ru/animals/Jack/,Мокрый нос,Киров,Без породы,Собаки,2009-08-20,мальчик,52,0,1,0
386,Ника,https://teddyfood.com/ru/animals/Nika_dog/,Мокрый нос,Киров,Без породы,Собаки,2017-05-20,девочка,25,0,0,1
387,Феликс,https://teddyfood.com/ru/animals/Felix_p/,Котофей,Пермь,Без породы,Кошки,2016-05-20,мальчик,4,1,0,0
388,Руся,https://teddyfood.com/ru/animals/Rusya/,Мокрый нос,Киров,Без породы,Собаки,2017-05-20,девочка,33,1,0,2
389,Ася,https://teddyfood.com/ru/animals/Asya_dog/,Мокрый нос,Киров,Без породы,Собаки,2017-05-20,девочка,19,1,0,0
390,Жемчужинка,https://teddyfood.com/ru/animals/Pearl/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-10-10,девочка,15,1,0,0
391,Серхио,https://teddyfood.com/ru/animals/Serhio/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-09-20,мальчик,2,1,0,0
392,Вася,https://teddyfood.com/ru/animals/Vasya_cat/,Котофей,Пермь,Без породы,Кошки,2015-05-20,мальчик,1,1,0,0
393,Аврора,https://teddyfood.com/ru/animals/Aurora_p/,Матроскин,Пермь,Без породы,Кошки,2015-08-02,девочка,1,1,0,0
394,Алисинья,https://teddyfood.com/ru/animals/Alisinya/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2012-08-02,девочка,24,1,1,0
395,Басилисса,https://teddyfood.com/ru/animals/Basilissa/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-06-20,девочка,1,1,0,0
396,Орхидея,https://teddyfood.com/ru/animals/Orchid/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-06-20,девочка,10,1,0,0
397,Сальери,https://teddyfood.com/ru/animals/Salieri/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-05-20,мальчик,0,1,0,0
398,Барсик,https://teddyfood.com/ru/animals/Barsik_volg/,"Кошачий приют ""ДОМИК""",Волгоград,Без породы,Кошки,2014-07-20,мальчик,6,1,0,0
399,Вишенка,https://teddyfood.com/ru/animals/Cat_sam/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2017-03-01,девочка,2,1,0,1
400,Триша,https://teddyfood.com/ru/animals/Trisha/,Мокрый нос,Киров,Без породы,Собаки,2017-05-20,мальчик,32,0,1,0
401,Эфер,https://teddyfood.com/ru/animals/Ether/,Матроскин,Пермь,Русский голубой,Кошки,2015-06-20,мальчик,2,1,0,0
402,Тесса,https://teddyfood.com/ru/animals/Tessa/,Матроскин,Пермь,Без породы,Кошки,2017-05-10,девочка,0,1,0,0
403,Глория,https://teddyfood.com/ru/animals/Gloria/,Матроскин,Пермь,Без породы,Кошки,2013-08-20,девочка,11,1,0,0
404,Бусинка,https://teddyfood.com/ru/animals/Bead/,Матроскин,Пермь,Без породы,Кошки,2015-07-20,девочка,1,1,0,0
405,Облачко,https://teddyfood.com/ru/animals/Cloudlet_p/,Матроскин,Пермь,Без породы,Кошки,2004-05-20,мальчик,3,1,0,0
406,Милашка,https://teddyfood.com/ru/animals/Lovely/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2017-04-20,девочка,16,1,0,1
407,Джеймс,https://teddyfood.com/ru/animals/James/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-10-10,мальчик,2,1,0,0
408,Майлз,https://teddyfood.com/ru/animals/Miles/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-05-10,мальчик,2,1,0,0
409,Джайлз,https://teddyfood.com/ru/animals/Giles/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-05-20,мальчик,5,1,0,0
410,Пышка,https://teddyfood.com/ru/animals/Pyshka/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-07-20,девочка,13,1,0,0
411,Люсьен,https://teddyfood.com/ru/animals/Lucien_m/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-05-20,девочка,13,1,3,0
412,Гермиона,https://teddyfood.com/ru/animals/Hermione/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-11-29,девочка,3,1,0,0
413,Варя,https://teddyfood.com/ru/animals/Varya_m/,Матроскин,Пермь,Без породы,Кошки,2014-03-20,девочка,0,1,0,0
414,Лизи,https://teddyfood.com/ru/animals/Lizi_p/,Матроскин,Пермь,Без породы,Кошки,2016-05-20,девочка,2,1,0,0
415,Чаплин,https://teddyfood.com/ru/animals/Chaplin_smr/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-06-06,мальчик,2,1,0,0
416,Пельмешка,https://teddyfood.com/ru/animals/Pelmeshka/,Матроскин,Пермь,Без породы,Кошки,2015-05-20,девочка,3,1,0,0
417,Чайка,https://teddyfood.com/ru/animals/Seagull/,Матроскин,Пермь,Без породы,Кошки,2015-05-20,девочка,2,1,0,0
418,Рудик,https://teddyfood.com/ru/animals/Rudic/,Люськин дом,Казань,Без породы,Кошки,2014-09-20,мальчик,1,1,0,0
419,Гермес,https://teddyfood.com/ru/animals/Hermes_smr/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-04-20,мальчик,4,1,1,0
420,Снежок,https://teddyfood.com/ru/animals/Snow_m/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-10-20,мальчик,23,1,3,0
421,Пьеро,https://teddyfood.com/ru/animals/Pierro_m/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-05-20,мальчик,25,1,0,0
422,Герда,https://teddyfood.com/ru/animals/Gerda_k/,Котофей,Пермь,Без породы,Кошки,2015-10-12,девочка,6,1,0,0
423,Проша,https://teddyfood.com/ru/animals/Prosha/,Люськин дом,Казань,Без породы,Кошки,2017-08-10,мальчик,5,1,0,0
424,Тимоша,https://teddyfood.com/ru/animals/Timosha_k/,Люськин дом,Казань,Без породы,Кошки,2017-08-10,мальчик,2,1,0,0
425,Муслим,https://teddyfood.com/ru/animals/Muslim/,Люськин дом,Казань,Без породы,Кошки,2014-05-10,мальчик,9,1,0,0
426,Дамби,https://teddyfood.com/ru/animals/Dambi/,Матроскин,Пермь,Без породы,Кошки,2011-03-20,мальчик,20,1,0,1
427,Фоня,https://teddyfood.com/ru/animals/Fonya/,Матроскин,Пермь,Без породы,Кошки,2015-06-20,мальчик,4,1,0,0
428,Матрешка,https://teddyfood.com/ru/animals/Matryoshka/,Люськин дом,Казань,Без породы,Кошки,2015-05-20,девочка,96,0,0,1
429,Кэтсби,https://teddyfood.com/ru/animals/Catsbi/,Матроскин,Пермь,Без породы,Кошки,2017-12-14,мальчик,6,1,0,0
430,Гарфилд,https://teddyfood.com/ru/animals/Garfield_perm/,Матроскин,Пермь,Без породы,Кошки,2014-05-20,мальчик,4,1,0,0
431,Зося,https://teddyfood.com/ru/animals/Zosia/,Люськин дом,Казань,Без породы,Кошки,2017-03-20,девочка,109,0,2,1
432,Коржик,https://teddyfood.com/ru/animals/Korjik_kazan/,Люськин дом,Казань,Без породы,Кошки,2016-09-10,мальчик,7,1,0,0
433,Светлячок,https://teddyfood.com/ru/animals/Firefly/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-05-20,мальчик,5,1,0,0
434,Кроля,https://teddyfood.com/ru/animals/Krolay/,Люськин дом,Казань,Без породы,Кошки,2016-12-12,девочка,3,1,0,1
435,Цыган,https://teddyfood.com/ru/animals/Gypsy/,Люськин дом,Казань,Без породы,Кошки,2015-08-20,мальчик,3,1,0,0
436,Сабрина ,https://teddyfood.com/ru/animals/Sabrina_sm/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-07-20,девочка,3,1,0,0
437,Снежок,https://teddyfood.com/ru/animals/Snowball_samara/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-09-20,мальчик,2,1,0,1
438,Геката ,https://teddyfood.com/ru/animals/Hecate/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-07-20,девочка,13,1,0,1
439,Никата ,https://teddyfood.com/ru/animals/Nikata/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-05-20,девочка,3,1,3,0
440,Мелиноя,https://teddyfood.com/ru/animals/Melinoya/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-07-10,девочка,5,1,0,0
441,Колбаскин,https://teddyfood.com/ru/animals/Kolbaskin/,Люськин дом,Казань,Без породы,Кошки,2014-12-12,мальчик,64,0,0,1
442,Мадам Колбаскина,https://teddyfood.com/ru/animals/Madame_Kolbaskina/,Люськин дом,Казань,Без породы,Кошки,2015-12-12,девочка,52,0,0,1
443,Лиза,https://teddyfood.com/ru/animals/Liza_p_k/,Котофей,Пермь,Без породы,Кошки,2015-10-22,девочка,4,1,1,0
444,Аркадий,https://teddyfood.com/ru/animals/Arkady_ p/,Матроскин,Пермь,Без породы,Кошки,2014-06-20,мальчик,1,1,0,0
445,Рокси,https://teddyfood.com/ru/animals/Cat_samara_n/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2017-06-20,девочка,1,1,0,0
446,Арчи,https://teddyfood.com/ru/animals/Archie/,Матроскин,Пермь,Без породы,Кошки,2014-10-30,мальчик,2,1,0,0
447,Рональд ,https://teddyfood.com/ru/animals/Ronald/,Матроскин,Пермь,Без породы,Кошки,2015-01-20,мальчик,24,1,0,0
448,Макси,https://teddyfood.com/ru/animals/Maxi_p/,Матроскин,Пермь,Без породы,Кошки,2015-10-31,девочка,0,1,0,0
449,Миранда,https://teddyfood.com/ru/animals/Miranda_p/,Матроскин,Пермь,Без породы,Кошки,2014-07-20,девочка,0,1,0,0
450,Аллан,https://teddyfood.com/ru/animals/Allan_p/,Матроскин,Пермь,Без породы,Кошки,2015-12-20,мальчик,2,1,0,0
451,Линда,https://teddyfood.com/ru/animals/Linda/,Матроскин,Пермь,Без породы,Кошки,2014-10-20,девочка,1,1,0,0
452,Марселька,https://teddyfood.com/ru/animals/Marcelka_p/,Матроскин,Пермь,Без породы,Кошки,2015-10-20,мальчик,7,1,0,0
453,Бегемот,https://teddyfood.com/ru/animals/Hippo_cat/,Матроскин,Пермь,Без породы,Кошки,2014-10-05,мальчик,4,1,0,0
454,Марокко,https://teddyfood.com/ru/animals/Morocco/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-01-03,мальчик,6,1,0,0
