id,Кличка,Ссылка на профиль,Приют,Город,Порода,Вид,Дата рождения,Пол,В избранном,Уже дома,Забрать домой,Погулять
85,Мелани,https://teddyfood.com/ru/animals/melany/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-10-09,девочка,0,1,0,0
86,Печенька,https://teddyfood.com/ru/animals/pechenka/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-11-16,девочка,2,1,0,0
87,Тайсон,https://teddyfood.com/ru/animals/tayson/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-05-30,мальчик,0,1,0,0
88,Байкал,https://teddyfood.com/ru/animals/baikal/,Мокрый нос,Киров,Без породы,Собаки,2014-05-14,мальчик,68,1,0,2
89,Мася,https://teddyfood.com/ru/animals/masya/,Мокрый нос,Киров,Без породы,Собаки,2016-03-10,мальчик,5,1,1,1
90,Стиф,https://teddyfood.com/ru/animals/stif/,Мокрый нос,Киров,Без породы,Собаки,2015-11-01,мальчик,44,0,0,0
91,Равенна,https://teddyfood.com/ru/animals/ravenna/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-02-05,девочка,2,1,0,0
92,Шаера,https://teddyfood.com/ru/animals/shaera/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-06-05,девочка,1,1,0,0
93,Жорик,https://teddyfood.com/ru/animals/jorik/,Мокрый нос,Киров,Без породы,Собаки,2015-09-23,мальчик,72,1,0,1
94,Рон,https://teddyfood.com/ru/animals/ron/,Мокрый нос,Киров,Без породы,Собаки,2015-06-18,мальчик,63,0,0,3
95,Няша,https://teddyfood.com/ru/animals/nyasha/,Мокрый нос,Киров,Без породы,Собаки,2015-02-14,девочка,34,0,0,1
96,Люсьена,https://teddyfood.com/ru/animals/Lyusena/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2011-12-02,девочка,0,0,0,0
97,Тимьян,https://teddyfood.com/ru/animals/Timyan/,Матроскин,Пермь,Без породы,Кошки,2013-04-03,мальчик,0,1,0,0
98,Кеша,https://teddyfood.com/ru/animals/kesha/,Матроскин,Пермь,Без породы,Кошки,2013-11-09,мальчик,0,1,0,0
99,Элли,https://teddyfood.com/ru/animals/elly/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-11-10,девочка,4,1,0,0
100,Магдалина,https://teddyfood.com/ru/animals/magdalina/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-10-09,девочка,4,1,0,0
101,Лионелла,https://teddyfood.com/ru/animals/lionella/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-11-12,девочка,0,1,0,0
102,Мурыся,https://teddyfood.com/ru/animals/murysya/,Матроскин,Пермь,Без породы,Кошки,2015-11-05,девочка,0,1,0,0
103,Русалочка,https://teddyfood.com/ru/animals/rusalochka/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-07-21,девочка,0,1,0,0
104,Зевс,https://teddyfood.com/ru/animals/zeus/,Матроскин,Пермь,Без породы,Кошки,2015-06-04,мальчик,0,1,0,0
105,Сола,https://teddyfood.com/ru/animals/sola/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-05-24,девочка,10,1,1,0
106,Фредди,https://teddyfood.com/ru/animals/freddy/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-10-19,мальчик,5,1,0,0
107,Исида ,https://teddyfood.com/ru/animals/isida/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-10-06,девочка,2,1,1,1
108,Манила,https://teddyfood.com/ru/animals/manila/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-08-08,девочка,0,1,0,0
109,Лаки,https://teddyfood.com/ru/animals/Lucky/,Матроскин,Пермь,Без породы,Кошки,2015-12-11,мальчик,0,1,0,0
110,Ботти,https://teddyfood.com/ru/animals/botty/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-11-07,девочка,37,1,0,0
111,Милан,https://teddyfood.com/ru/animals/milan/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2016-02-15,мальчик,4,1,0,0
112,Забава,https://teddyfood.com/ru/animals/zabava/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-12-10,девочка,0,1,0,0
113,Агриппина,https://teddyfood.com/ru/animals/agrippina/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-06-15,девочка,9,1,0,0
114,Полетта,https://teddyfood.com/ru/animals/poletta/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2011-10-16,девочка,18,1,0,2
115,Манго,https://teddyfood.com/ru/animals/mango/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-09-09,мальчик,1,1,0,0
116,Бандерас,https://teddyfood.com/ru/animals/banderas/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-07-21,мальчик,21,1,0,0
117,Ангела,https://teddyfood.com/ru/animals/angela/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-12-18,девочка,4,1,0,0
118,Рыбка,https://teddyfood.com/ru/animals/rybka/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-06-12,девочка,20,1,0,1
119,Мелисса,https://teddyfood.com/ru/animals/melisa/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2012-10-15,девочка,4,0,0,0
120,Акварель,https://teddyfood.com/ru/animals/aquarelle/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-10-10,девочка,1,1,0,0
121,Филипп,https://teddyfood.com/ru/animals/philipp/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-12-29,мальчик,4,1,0,0
122,Гоша,https://teddyfood.com/ru/animals/gosha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-12-20,мальчик,10,1,2,10
123,Геша,https://teddyfood.com/ru/animals/gesha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-07-01,мальчик,30,1,0,1
124,Эйприл,https://teddyfood.com/ru/animals/april/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-01-02,девочка,1,1,0,1
125,Вольт,https://teddyfood.com/ru/animals/wolt/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-08-05,мальчик,1,1,1,5
126,Хэппи,https://teddyfood.com/ru/animals/happy/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-08-07,девочка,3,1,0,0
127,Смог,https://teddyfood.com/ru/animals/smog/,Матроскин,Пермь,Русский голубой,Кошки,2013-09-20,мальчик,3,1,0,0
128,Бродский,https://teddyfood.com/ru/animals/brodsky/,Матроскин,Пермь,Без породы,Кошки,2013-09-22,мальчик,1,1,0,0
129,Гретта,https://teddyfood.com/ru/animals/gretta/,Матроскин,Пермь,Без породы,Кошки,2014-10-20,девочка,8,1,0,1
130,Сара,https://teddyfood.com/ru/animals/sara/,Матроскин,Пермь,Без породы,Кошки,2011-08-02,девочка,2,1,0,0
131,Корица,https://teddyfood.com/ru/animals/coriza/,Матроскин,Пермь,Без породы,Кошки,2014-08-15,девочка,0,1,0,0
132,Пумба,https://teddyfood.com/ru/animals/pumba/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2013-09-12,мальчик,4,1,0,0
133,Малышка,https://teddyfood.com/ru/animals/malishka/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-09-20,девочка,2,1,0,0
134,Марика,https://teddyfood.com/ru/animals/marika/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2012-09-20,девочка,15,1,1,0
135,Босс,https://teddyfood.com/ru/animals/Boss/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-08-20,мальчик,12,1,1,2
136,Муфаса,https://teddyfood.com/ru/animals/myfaca/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-05-20,мальчик,6,1,0,0
137,Клеопатра,https://teddyfood.com/ru/animals/cleopatra/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-10-20,девочка,3,1,0,0
138,Арнольд,https://teddyfood.com/ru/animals/arnold/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2012-11-20,мальчик,28,1,0,0
139,Верона,https://teddyfood.com/ru/animals/Verona/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-02-01,девочка,13,1,1,0
140,Макс,https://teddyfood.com/ru/animals/Maks/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2010-09-20,мальчик,16,1,0,0
141,Кармен,https://teddyfood.com/ru/animals/Karmen/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-09-20,девочка,3,1,2,0
142,Алсу,https://teddyfood.com/ru/animals/Alsy/,Матроскин,Пермь,Без породы,Кошки,2016-02-01,девочка,2,1,0,0
143,Ива,https://teddyfood.com/ru/animals/Iva/,Матроскин,Пермь,Без породы,Кошки,2014-02-02,девочка,0,1,0,0
144,Фелисия,https://teddyfood.com/ru/animals/felisia/,Матроскин,Пермь,Без породы,Кошки,2013-01-01,девочка,3,1,0,0
145,Гоша,https://teddyfood.com/ru/animals/goshaperm/,Матроскин,Пермь,Без породы,Кошки,2007-02-02,мальчик,2,1,0,0
146,Масяня,https://teddyfood.com/ru/animals/Masinia/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-01-02,мальчик,12,1,0,1
147,Андрюша,https://teddyfood.com/ru/animals/andrusha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-01-02,мальчик,13,1,0,1
148,Жан-Батист,https://teddyfood.com/ru/animals/Jean-Baptiste/,Республика кошек,Санкт-Петербург,Без породы,Кошки,2012-01-09,мальчик,5,1,0,0
149,Нала,https://teddyfood.com/ru/animals/Nala/,Республика котов,Санкт-Петербург,Без породы,Кошки,2009-05-05,девочка,12,1,0,0
150,Макото,https://teddyfood.com/ru/animals/Makoto/,Республика кошек,Санкт-Петербург,Курильский бобтейл,Кошки,2011-02-22,мальчик,17,1,1,0
151,Эрик,https://teddyfood.com/ru/animals/Eric/,Республика кошек,Санкт-Петербург,Манчкин,Кошки,2013-06-02,мальчик,12,1,0,1
152,Хемингуэй,https://teddyfood.com/ru/animals/Hemingway/,Республика кошек,Санкт-Петербург,Мейн-кун,Кошки,2009-03-02,мальчик,9,1,2,1
153,Мару-до-eрон,https://teddyfood.com/ru/animals/Maru/,Республика кошек,Санкт-Петербург,Без породы,Кошки,2013-02-02,мальчик,2,1,0,0
154,Поль Сезанн,https://teddyfood.com/ru/animals/Paul/,Республика кошек,Санкт-Петербург,Тойгер,Кошки,2008-09-09,мальчик,8,1,0,0
155,Эдгар По,https://teddyfood.com/ru/animals/Edgar/,Республика кошек,Санкт-Петербург,Хайленд-фолд ,Кошки,2011-06-09,мальчик,12,1,0,0
156,Лила,https://teddyfood.com/ru/animals/Lila/,Республика котов,Санкт-Петербург,Без породы,Кошки,2013-09-09,девочка,44,1,1,2
157,Голубика,https://teddyfood.com/ru/animals/Blueberry/,Республика котов,Санкт-Петербург,Без породы,Кошки,2010-09-09,девочка,16,1,0,0
158,Кексик,https://teddyfood.com/ru/animals/Keksik/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-06-05,мальчик,13,1,0,0
159,Валли,https://teddyfood.com/ru/animals/Valli/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-07-07,мальчик,1,1,0,0
160,Дора Маар,https://teddyfood.com/ru/animals/doraMaar/,Республика кошек,Санкт-Петербург,Эрмитажная,Кошки,2009-09-09,девочка,0,1,0,0
161,Манеки Нэко,https://teddyfood.com/ru/animals/ManekiNeko/,Республика кошек,Санкт-Петербург,Эрмитажная,Кошки,2009-09-09,девочка,3,1,0,0
162,Лола,https://teddyfood.com/ru/animals/Lola/,Республика котов,Санкт-Петербург,Без породы,Кошки,2009-09-09,девочка,5,1,0,0
163,Малышка Мю,https://teddyfood.com/ru/animals/Malyshka_Myu/,Республика кошек,Санкт-Петербург,Экзот ,Кошки,2009-09-09,девочка,9,1,0,1
164,Мерлин,https://teddyfood.com/ru/animals/Merlin/,Республика котов,Санкт-Петербург,Без породы,Кошки,2013-07-20,мальчик,16,1,0,0
165,Илвис,https://teddyfood.com/ru/animals/Ilvis/,Республика кошек,Санкт-Петербург,Без породы,Кошки,2013-06-08,мальчик,6,1,0,0
166,Лиззи,https://teddyfood.com/ru/animals/Lizzie/,Республика котов,Санкт-Петербург,Без породы,Кошки,2014-04-09,девочка,16,1,0,0
167,Сметанка,https://teddyfood.com/ru/animals/Smetanka/,Республика кошек,Санкт-Петербург,Эрмитажная,Кошки,2010-02-09,девочка,7,1,0,1
168,Есения,https://teddyfood.com/ru/animals/Yesenia/,Республика кошек,Санкт-Петербург,Украинский левкой,Кошки,2009-12-31,девочка,12,1,0,0
169,Али,https://teddyfood.com/ru/animals/Ali/,Республика кошек,Санкт-Петербург,Перс ,Кошки,2012-04-09,девочка,4,1,0,0
170,Эмилия Флёге,https://teddyfood.com/ru/animals/Emilie/,Республика кошек,Санкт-Петербург,Девон- рекс,Кошки,2012-07-29,девочка,11,1,0,4
171,Мари-Анна Колло,https://teddyfood.com/ru/animals/MarieAnne/,Республика кошек,Санкт-Петербург,Эрмитажная,Кошки,2010-05-09,девочка,9,1,0,0
172,Равенна,https://teddyfood.com/ru/animals/Ravena/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-02-14,девочка,41,1,1,2
173,Мартин,https://teddyfood.com/ru/animals/Martin/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2007-01-22,мальчик,19,1,0,0
174,Мейсон,https://teddyfood.com/ru/animals/Meyson/,Матроскин,Пермь,Без породы,Кошки,2012-02-10,мальчик,4,1,0,0
175,Миневра ,https://teddyfood.com/ru/animals/Minevra/,Матроскин,Пермь,Без породы,Кошки,2014-02-20,девочка,1,1,0,0
176,Кай,https://teddyfood.com/ru/animals/Cai/,Матроскин,Пермь,Без породы,Кошки,2015-02-20,мальчик,3,1,3,0
177,Огонек,https://teddyfood.com/ru/animals/Ogonek/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-07-20,мальчик,9,1,1,0
178,Арабеска,https://teddyfood.com/ru/animals/Arabeska/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-04-03,девочка,0,1,0,0
179,Лайма,https://teddyfood.com/ru/animals/LaimaM/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-01-22,девочка,18,1,0,0
180,Поля,https://teddyfood.com/ru/animals/Polia/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-01-22,девочка,7,1,1,1
181,Дорон,https://teddyfood.com/ru/animals/Doron/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-02-02,мальчик,1,1,0,0
182,Пломбир,https://teddyfood.com/ru/animals/Plombir/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-04-10,мальчик,1,1,0,0
183,Биби,https://teddyfood.com/ru/animals/Bibi/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-03-02,девочка,1,1,0,0
184,Луша,https://teddyfood.com/ru/animals/Lusha/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2013-02-03,девочка,4,1,0,0
185,Пальмира,https://teddyfood.com/ru/animals/Palmira/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2014-03-03,девочка,1,1,0,0
186,Бадди,https://teddyfood.com/ru/animals/Buddy/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2012-02-20,мальчик,24,1,0,1
187,Габриэль,https://teddyfood.com/ru/animals/Gabriel/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-02-20,девочка,4,1,0,0
188,Бэлла,https://teddyfood.com/ru/animals/bela/,Мокрый нос,Киров,Без породы,Собаки,2016-02-20,девочка,23,1,0,1
189,Мерседес,https://teddyfood.com/ru/animals/Mercedes/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2014-03-08,мальчик,2,1,0,0
190,Берси,https://teddyfood.com/ru/animals/Bersi/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2011-03-03,мальчик,9,1,0,0
191,Ланселот,https://teddyfood.com/ru/animals/Lanselot/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-05-03,мальчик,2,1,0,0
192,Мирон,https://teddyfood.com/ru/animals/Miron_kirov/,Мокрый нос,Киров,Без породы,Собаки,2014-02-02,мальчик,22,1,0,1
193,Лика,https://teddyfood.com/ru/animals/Lika/,Мокрый нос,Киров,Без породы,Собаки,2014-03-02,девочка,19,1,0,0
194,Руслан,https://teddyfood.com/ru/animals/Ruslan_Kirov/,Мокрый нос,Киров,Без породы,Собаки,2016-10-10,мальчик,9,1,0,0
195,Масяня,https://teddyfood.com/ru/animals/Masiania/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-02-20,девочка,9,1,1,0
196,Кэтти,https://teddyfood.com/ru/animals/Katty/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2015-02-02,девочка,1,1,0,0
197,Аника,https://teddyfood.com/ru/animals/Anika/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2012-02-02,девочка,19,1,0,0
198,Лукерья,https://teddyfood.com/ru/animals/Lukerya/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2012-02-20,девочка,2,1,0,0
199,Братислава,https://teddyfood.com/ru/animals/Bratislava_mur/,"Частный Московский приют ""МУРКОША""",Москва,Без породы,Кошки,2007-02-20,девочка,1,1,0,0
200,Багира,https://teddyfood.com/ru/animals/Bagira/,Матроскин,Пермь,Без породы,Кошки,2015-02-20,девочка,0,1,0,0
201,Алиса,https://teddyfood.com/ru/animals/Alisa_perm/,Матроскин,Пермь,Без породы,Кошки,2013-03-20,девочка,2,1,0,0
202,Анастасия Павловна,https://teddyfood.com/ru/animals/Anastasia_Pavlovna/,Матроскин,Пермь,Без породы,Кошки,1999-02-22,девочка,5,1,0,0
203,Капа,https://teddyfood.com/ru/animals/Kapa/,Матроскин,Пермь,Без породы,Кошки,2015-03-02,девочка,0,1,0,0
204,Муся,https://teddyfood.com/ru/animals/Musia_perm/,Матроскин,Пермь,Без породы,Кошки,2016-02-20,девочка,5,1,0,0
205,Иветта,https://teddyfood.com/ru/animals/Ivetta/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-03-10,девочка,3,1,0,0
206,Леди Кэтти,https://teddyfood.com/ru/animals/Lady_Catty/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-03-20,девочка,2,1,0,0
207,Ася и котятки,https://teddyfood.com/ru/animals/Asya/,Реабилитационный центр ЗОО Дом,Королёв,Без породы,Кошки,2015-03-20,девочка,37,1,0,3
208,Изюминка,https://teddyfood.com/ru/animals/Izuminka/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-03-10,девочка,17,1,0,0
209,Элен,https://teddyfood.com/ru/animals/Elen_smr/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2016-10-05,девочка,5,1,0,0
210,Пуша,https://teddyfood.com/ru/animals/Pusha/,"Самарский приют для животных ""НадеждА""",Самара,Без породы,Кошки,2015-04-10,девочка,5,1,0,0
